供应商代码（三位缩写）,中文名称,邮件种类,原寄局,寄达局,适用合同,结算方式,板号,账务时期,运能编码,收费路由,航班,来账重量,费率,金额,邮方确认重量,邮方确认费率,邮方确认金额
CP001,天泽物流,EA,CNDGGD,JPKWSA,,单价,,202504,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,6003.9,18.0,108070.2,,,
CP001,天泽物流,EA,CNDGGD,USJFKF,,单价,,202504,6102042,HKG-(TPE)-JFK,ZK001CI920-CI012,539.4,60.0,32364.0,,,
CP001,天泽物流,EA,CNCAND,AUMELA,,单价,,202504,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,1171.0,41.0,48011.0,,,
CP001,天泽物流,EA,CNCAND,AUSYDA,,单价,,202504,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,5800.9,41.0,237836.9,,,
CP001,天泽物流,EA,CNCAND,CAYVRB,,单价,,202504,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,1537.8,75.0,115335.0,,,
CP001,天泽物流,EA,CNCAND,JPKIXA,,单价,,202504,6102020,HKG-(TPE)-KIX,ZK001CI920-JX820,6234.0,18.0,112212.0,,,
CP001,天泽物流,EA,CNCAND,JPKWSA,,单价,,202504,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,6289.2,18.0,113205.6,,,
CP001,天泽物流,EA,CNCAND,MXMEXD,,单价,,202504,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,7907.4,84.0,664221.6,,,
CP001,天泽物流,EA,CNCAND,NZAKLA,,单价,,202504,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,2805.7,48.0,134673.6,,,
CP001,天泽物流,EA,CNCAND,USJFKF,,单价,,202504,6102042,HKG-(TPE)-JFK,ZK001CI920-CI012,6206.9,60.0,372414.0,,,
CP001,天泽物流,EA,CNCAND,CAYVRA,,单价,,202504,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,400.9,75.0,30067.5,,,
CP001,天泽物流,LA,CNSZXA,AUSYDA,,单价,,202504,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,391.7,41.0,16059.7,,,
CP001,天泽物流,LA,CNSZXA,CAYVRA,,单价,,202504,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,3.7,75.0,277.5,,,
CP001,天泽物流,LA,CNSZXA,JPKWSA,,单价,,202504,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,857.5,18.0,15435.0,,,
CP001,天泽物流,LA,CNSZXA,RULEDL,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,3.8,63.0,239.4,,,
CP001,天泽物流,LA,CNSZXA,RUMOWS,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,30.6,63.0,1927.8,,,
CP001,天泽物流,LA,CNSZXA,RUOVBB,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,2.7,63.0,170.1,,,
CP001,天泽物流,EA,CNSZXD,AUMELA,,单价,,202504,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,709.6,41.0,29093.6,,,
CP001,天泽物流,EA,CNSZXD,AUSYDA,,单价,,202504,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,2307.4,41.0,94603.4,,,
CP001,天泽物流,EA,CNSZXD,GBLALA,,单价,,202504,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,602.8,54.0,32551.2,,,
CP001,天泽物流,EA,CNSZXD,JPKIXA,,单价,,202504,6102020,HKG-(TPE)-KIX,ZK001CI920-JX820,953.4,18.0,17161.2,,,
CP001,天泽物流,EA,CNSZXD,JPKWSA,,单价,,202504,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,2089.2,18.0,37605.6,,,
CP001,天泽物流,EA,CNSZXD,MXMEXD,,单价,,202504,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,564.8,84.0,47443.2,,,
CP001,天泽物流,EA,CNSZXD,NZAKLA,,单价,,202504,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,108.1,48.0,5188.8,,,
CP001,天泽物流,EA,CNSZXD,RUMOWS,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,2621.8,63.0,165173.4,,,
CP001,天泽物流,EA,CNSZXD,USJFKF,,单价,,202504,6102042,HKG-(TPE)-JFK,ZK001CI920-CI012,1838.3,60.0,110298.0,,,
CP001,天泽物流,LA,CNSZXA,GBLALA,,单价,,202504,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,42.7,54.0,2305.8,,,
CP001,天泽物流,LA,CNSZXA,MXMEXD,,单价,,202504,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,21.8,84.0,1831.2,,,
CP001,天泽物流,LA,CNSZXA,USJFKA,,单价,,202504,6102042,HKG-(TPE)-JFK,ZK001CI920-CI012,108.6,60.0,6516.0,,,
CP001,天泽物流,EA,CNSZXD,JPTYOA,,单价,,202504,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,59.8,18.0,1076.4,,,
CP001,天泽物流,LA,CNSZXA,AUMELA,,单价,,202504,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,153.8,41.0,6305.8,,,
CP001,天泽物流,EA,CNSZXD,CAYVRB,,单价,,202504,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,204.2,75.0,15315.0,,,
CP001,天泽物流,LA,CNSZXA,NZAKLA,,单价,,202504,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,5.3,48.0,254.4,,,
CP001,天泽物流,LA,CNSZXA,RUEKAA,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,6.7,63.0,422.1,,,
CP001,天泽物流,LA,CNCANA,MXMEXD,,单价,,202504,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,151.5,84.0,12726.0,,,
CP001,天泽物流,PA,CNCANA,USLAXA,,单价,,202504,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,148.5,60.0,8910.0,,,
CP001,天泽物流,EA,CNCAND,AUSYDB,,单价,,202504,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,3028.3,41.0,124160.3,,,
CP001,天泽物流,EA,CNCAND,JPTYOA,,单价,,202504,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,5955.6,18.0,107200.8,,,
CP001,天泽物流,EA,CNCAND,RUMOWS,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,1358.4,63.0,85579.2,,,
CP001,天泽物流,EA,CNCAND,RUMOWT,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,114.1,63.0,7188.3,,,
CP001,天泽物流,EA,CNCAND,USJFKA,,单价,,202504,6102042,HKG-(TPE)-JFK,ZK001CI920-CI012,1459.3,60.0,87558.0,,,
CP001,天泽物流,LA,CNDGGA,GBLALA,,单价,,202504,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,475.6,54.0,25682.4,,,
CP001,天泽物流,LA,CNDGGA,RUEKAA,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,25.8,63.0,1625.4,,,
CP001,天泽物流,LA,CNDGGA,RUOVBB,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,5.7,63.0,359.1,,,
CP001,天泽物流,LA,CNDGGA,USLAXA,,单价,,202504,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,32.7,60.0,1962.0,,,
CP001,天泽物流,EA,CNDGGD,AUMELA,,单价,,202504,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,624.9,41.0,25620.9,,,
CP001,天泽物流,EA,CNDGGD,AUSYDA,,单价,,202504,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,1960.6,41.0,80384.6,,,
CP001,天泽物流,EA,CNDGGD,JPKIXA,,单价,,202504,6102020,HKG-(TPE)-KIX,ZK001CI920-JX820,3324.5,18.0,59841.0,,,
CP001,天泽物流,EA,CNDGGD,NZAKLA,,单价,,202504,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,172.3,48.0,8270.4,,,
CP001,天泽物流,EA,CNDGGD,USLAXF,,单价,,202504,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,410.8,60.0,24648.0,,,
CP001,天泽物流,EA,CNCAND,GBLALA,,单价,,202504,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,3367.3,54.0,181834.2,,,
CP001,天泽物流,LA,CNDGGA,RULEDL,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,7.0,63.0,441.0,,,
CP001,天泽物流,LA,CNDGGA,USJFKA,,单价,,202504,6102042,HKG-(TPE)-JFK,ZK001CI920-CI012,28.0,60.0,1680.0,,,
CP001,天泽物流,EA,CNDGGD,CAYVRB,,单价,,202504,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,616.1,75.0,46207.5,,,
CP001,天泽物流,EA,CNDGGD,GBLALA,,单价,,202504,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,223.5,54.0,12069.0,,,
CP001,天泽物流,EA,CNCAND,AUMELB,,单价,,202504,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,1018.6,41.0,41762.6,,,
CP001,天泽物流,EA,CNCAND,KRSELB,,单价,,202504,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,4242.7,18.0,76368.6,,,
CP001,天泽物流,EA,CNCAND,USLAXA,,单价,,202504,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,1065.7,60.0,63942.0,,,
CP001,天泽物流,LA,CNDGGA,CAYVRA,,单价,,202504,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,0.4,75.0,30.0,,,
CP001,天泽物流,LA,CNDGGA,NZAKLA,,单价,,202504,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,445.9,48.0,21403.2,,,
CP001,天泽物流,LA,CNDGGA,RUMOWS,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,31.5,63.0,1984.5,,,
CP001,天泽物流,EA,CNDGGD,RUMOWS,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,79.2,63.0,4989.6,,,
CP001,天泽物流,LA,CNDGGA,JPKWSA,,单价,,202504,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,84.3,18.0,1517.4,,,
CP001,天泽物流,LA,CNCANA,AUMELA,,单价,,202504,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,12.9,41.0,528.9,,,
CP001,天泽物流,LA,CNCANA,USJFKA,,单价,,202504,6102042,HKG-(TPE)-JFK,ZK001CI920-CI012,4.8,60.0,288.0,,,
CP001,天泽物流,EA,CNCAND,GBCVTA,,单价,,202504,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,1719.3,54.0,92842.2,,,
CP001,天泽物流,EA,CNCAND,USLAXF,,单价,,202504,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,4026.6,60.0,241596.0,,,
CP001,天泽物流,LA,CNCANA,AUSYDA,,单价,,202504,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,82.0,41.0,3362.0,,,
CP001,天泽物流,PA,CNCANA,AUSYDD,,单价,,202504,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,7.8,41.0,319.8,,,
CP001,天泽物流,EA,CNCAND,RULEDL,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,9.1,63.0,573.3,,,
CP001,天泽物流,EA,CNXMND,NZAKLA,,单价,,202504,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,12.2,48.0,585.6,,,
CP001,天泽物流,EA,CNCAND,RUOVBB,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,46.4,63.0,2923.2,,,
CP001,天泽物流,LA,CNCANA,JPKWSA,,单价,,202504,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,19.2,18.0,345.6,,,
CP001,天泽物流,LA,CNCANA,USLAXA,,单价,,202504,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,3.3,60.0,198.0,,,
CP001,天泽物流,LA,CNSZXA,USLAXA,,单价,,202504,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,165.1,60.0,9906.0,,,
CP001,天泽物流,EA,CNSZXD,USJFKA,,单价,,202504,6102042,HKG-(TPE)-JFK,ZK001CI920-CI012,9.1,60.0,546.0,,,
CP001,天泽物流,EA,CNSZXD,KRSELB,,单价,,202504,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,207.0,18.0,3726.0,,,
CP001,天泽物流,EA,CNCAND,CAYTOA,,单价,,202504,6102046,HKG-(YVR)-YYZ,ZK001AC008-AC126,347.0,81.0,28107.0,,,
CP001,天泽物流,EA,CNSZXD,USLAXF,,单价,,202504,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,739.1,60.0,44346.0,,,
CP001,天泽物流,EA,CNSZXD,USLAXA,,单价,,202504,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,8.2,60.0,492.0,,,
CP001,天泽物流,LA,CNCANA,GBLALA,,单价,,202504,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,13.6,54.0,734.4,,,
CP001,天泽物流,LA,CNDGGA,RUVVOF,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,1.6,63.0,100.8,,,
CP001,天泽物流,EA,CNCAND,USORDF,,单价,,202504,6102030,HKG-(TPE)-ORD,ZK001CI920-CI5234,2093.7,66.0,138184.2,,,
CP001,天泽物流,EA,CNCAND,CAYTOB,,单价,,202504,6102046,HKG-(YVR)-YYZ,ZK001AC008-AC126,1043.9,81.0,84555.9,,,
CP001,天泽物流,LA,CNSZXA,RUVVOF,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,1.8,63.0,113.4,,,
CP001,天泽物流,LA,CNDGGA,AUSYDA,,单价,,202504,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,34.1,41.0,1398.1,,,
CP001,天泽物流,LA,CNDGGA,AUMELA,,单价,,202504,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,9.8,41.0,401.8,,,
CP001,天泽物流,EA,CNCAND,MXMEXE,,单价,,202504,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,4.6,84.0,386.4,,,
CP001,天泽物流,LA,CNCANA,KRSELB,,单价,,202504,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.2,18.0,39.6,,,
CP001,天泽物流,LA,CNCANA,RUEKAA,,单价,,202504,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,1.0,63.0,63.0,,,
